SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
532440,MPS LTD     ,B ,Q,538.40,545.00,535.00,542.80,542.00,541.10,10,48,26035.00,
532443,CERA SANITAR,A ,Q,3009.95,3050.00,3000.00,3043.85,3049.00,3032.25,102,270,819961.00,
532454,BHARTI ARTL ,A ,Q,361.85,366.20,358.05,363.10,363.10,362.45,1982,123648,44793054.00,
532455,SHALIMAR WIR,X ,Q,12.50,12.50,11.60,12.45,12.45,12.70,8,1151,13496.00,
532456,COMPUAGE INF,B ,Q,13.55,13.80,13.32,13.70,13.70,14.08,29,10695,145963.00,
532457,GULSHAN POLY,B ,Q,47.65,48.90,47.65,47.80,47.80,48.60,14,745,35867.00,
532459,AUNDEFAZE   ,X ,Q,16.50,16.50,15.85,15.85,15.85,15.75,12,939,15461.00,
532461,PUNJAB NATIO,A ,Q,77.55,79.15,76.95,78.60,78.60,77.30,3627,1402092,109571905.00,
532466,ORACLE FIN  ,A ,Q,3311.00,3328.55,3298.00,3303.25,3323.90,3297.80,108,599,1983488.00,
532468,KAMAHOLDING ,B ,Q,5530.00,5530.00,5530.00,5530.00,5530.00,5400.00,1,1,5530.00,
532475,APTECH LTD  ,B ,Q,147.45,151.10,144.10,147.90,147.90,148.60,1019,42086,6176490.00,
532477,UNION BANK L,A ,Q,72.35,74.50,72.15,74.15,74.15,72.50,1438,538192,39531777.00,
532478,UNITED BREWA,A ,Q,1344.50,1346.30,1325.60,1343.90,1343.65,1335.15,585,7766,10395495.00,
532479,ISMT LTD    ,B ,Q,5.91,7.10,5.91,6.85,6.95,6.35,45,15480,103773.00,
532480,ALLAHABAD BK,A ,Q,40.60,42.20,40.20,41.95,41.95,40.65,913,361629,14957576.00,
532481,NOIDA-TOLL B,B ,Q,4.53,4.53,4.15,4.20,4.20,4.18,46,30442,128304.00,
532482,GRANULES (I),A ,Q,107.35,107.35,104.35,104.90,105.05,106.85,559,55670,5855188.00,
532483,CANARA BANK ,A ,Q,260.00,269.15,258.20,268.30,268.30,258.00,2727,355653,94397123.00,
532485,BALMER LA.IN,B ,Q,440.00,442.00,432.15,439.35,438.00,439.55,176,5615,2462623.00,
532486,POKARNA LTD ,B ,Q,165.00,168.90,162.00,165.65,168.90,165.00,43,1757,289894.00,
532488,DIVI'S LAB. ,A ,Q,1565.35,1568.50,1552.00,1559.05,1565.00,1558.85,592,13843,21597137.00,
532493,ASTRA MICRO ,B ,Q,92.05,93.90,90.10,90.35,90.35,90.75,215,20424,1861470.00,
532497,RADICOKHAIT ,A ,Q,299.00,302.40,290.05,293.80,293.80,297.80,1623,51754,15224905.00,
532498,SHRMCITYUN  ,A ,Q,1537.00,1543.75,1506.10,1533.25,1533.05,1536.40,64,141,214590.00,
532500,MARUTISUZUK ,A ,Q,6970.00,7015.60,6931.35,6973.00,6973.00,6960.10,1928,14057,97968446.00,
532503,RAJAPAMILLS ,X ,Q,889.60,899.50,871.30,883.60,886.30,886.30,51,469,414833.00,
532504,NAVIN FLUORI,A ,Q,711.40,751.00,711.30,745.45,748.00,719.05,646,10316,7654545.00,
532505,UCOBANK     ,A ,Q,17.25,17.90,17.25,17.85,17.85,17.25,175,29001,513459.00,
532507,BAG FIL MED ,B ,Q,3.86,4.07,3.82,4.03,4.05,3.86,45,22591,89669.00,
532508,JSL         ,B ,Q,36.50,36.70,35.50,35.80,35.75,36.15,56,7902,283781.00,
532509,SUPRAJIT ENG,B ,Q,210.45,211.85,207.00,207.00,207.05,213.05,76,1670,349441.00,
532511,EXCEL CROP. ,B ,Q,3132.00,3164.15,3132.00,3137.30,3134.10,3164.05,28,195,612485.00,XD
532513,TVSELE      ,B ,Q,186.20,192.40,183.00,187.40,186.80,186.00,576,17386,3247084.00,
532514,INDRA GAS   ,A ,Q,340.50,347.90,339.45,341.20,341.20,340.90,1332,65327,22431791.00,
532515,TV TODAY    ,B ,Q,271.15,273.95,265.65,268.15,266.95,278.45,89,1543,414608.00,
532521,PALRED      ,B ,Q,30.40,32.15,30.35,30.60,30.40,31.85,8,209,6393.00,
532522,PETRONET LNG,A ,Q,240.00,243.90,236.15,243.25,243.50,238.65,524,26846,6475029.00,
532523,BIOCON LTD. ,A ,Q,534.00,544.10,525.80,536.75,536.75,529.90,3576,628862,337702922.00,
532524,PTC INDIA   ,A ,Q,69.05,69.70,68.70,69.30,69.25,69.05,1099,187735,12969837.00,
