SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1560.00,1580.15,1541.45,1550.35,1550.00,1566.70,795,26262,41155983.00,
500003,AEGIS LOGIS ,A ,Q,224.00,224.20,220.20,221.65,221.65,220.15,197,8276,1833960.00,
500008,AMAR RAJA BA,A ,Q,630.00,641.00,629.20,638.90,638.90,630.60,484,13751,8761283.00,
500009,A.SARABHAI  ,X ,Q,13.30,13.90,12.82,12.93,12.93,13.75,86,22559,297440.00,
500010,HDFC        ,A ,Q,2202.20,2202.95,2182.30,2190.35,2190.35,2196.50,1563,30186,66201645.00,
500012,ANDHRA PETRO,X ,Q,56.70,57.95,56.10,57.35,57.35,55.90,910,86513,4942673.00,
500013,ANSAL INFRAS,B ,Q,6.80,6.90,5.82,5.97,5.95,6.94,321,82144,500326.00,
500014,APPLE FINANC,XT,Q,1.43,1.50,1.40,1.50,1.50,1.43,10,4481,6330.00,
500016,ARUNAHTEL   ,XT,Q,6.75,6.75,6.75,6.75,6.75,7.10,4,2544,17172.00,
500020,BOM DYEING  ,A ,Q,122.70,123.80,119.05,120.00,120.00,122.65,1816,169230,20516240.00,
500024,ASSAMCO     ,T ,Q,1.45,1.45,1.34,1.40,1.44,1.41,46,44594,61310.00,
500027,ATUL LTD.   ,A ,Q,4064.65,4147.00,4061.55,4084.15,4081.00,4042.10,294,776,3179776.00,
500028,ATV PROJECTS,XT,Q,4.00,4.04,3.84,4.03,4.04,4.04,7,1743,6970.00,
500029,AUTOLITE(I) ,Z ,Q,28.55,28.70,28.55,28.60,28.60,30.00,6,707,20224.00,
500031,BAJAJ ELECT.,A ,Q,518.50,518.50,499.50,509.35,509.35,512.05,394,6102,3102522.00,
500032,BAJAJHIND   ,B ,Q,8.61,8.75,8.47,8.72,8.70,8.65,97,63861,553374.00,
500033,FORCE MOTR  ,A ,Q,1503.00,1514.00,1489.00,1496.50,1496.50,1498.20,523,5240,7845508.00,
500034,BAJFINANCE  ,A ,Q,3522.00,3564.00,3511.75,3547.50,3550.00,3520.90,3116,56277,199450899.00,
500038,BALRAM.CHINI,A ,Q,156.00,156.85,153.60,156.05,156.05,154.90,717,66855,10403132.00,
500039,BANCO PROD. ,B ,Q,134.05,135.75,133.50,133.65,133.65,134.05,58,2595,347678.00,
500040,CENTURY TEXT,A ,Q,996.00,996.00,979.20,989.75,990.20,990.30,793,28110,27811884.00,
500041,BANNARI AMAN,B ,Q,1470.00,1470.00,1470.00,1470.00,1470.00,1450.05,1,1,1470.00,
500042,BASF INDIA  ,A ,Q,1359.95,1419.00,1347.45,1386.20,1389.00,1336.40,524,3028,4212596.00,
500043,BATA INDIA  ,A ,Q,1423.00,1428.85,1410.00,1420.65,1420.65,1422.20,1849,68496,97182617.00,
500048,BEML LTD    ,A ,Q,959.80,962.10,942.65,957.20,956.00,950.60,1344,50118,47782058.00,
500049,BHARAT ELECT,A ,Q,108.00,111.00,107.60,110.40,110.40,107.60,3213,512406,56275512.00,
500052,BHANSALI ENG,B ,Q,68.30,69.00,66.60,67.35,67.00,68.10,934,100344,6763239.00,
500055,TATASTLBSL  ,B ,Q,30.00,30.20,28.90,29.85,29.85,29.65,249,66965,2001093.00,
500058,BIHAR SPONGE,XT,Q,1.02,1.03,0.98,0.98,0.98,1.03,5,11300,11572.00,
500059,BINANI IND. ,Z ,Q,22.65,22.65,22.55,22.55,22.55,23.70,44,8780,197989.00,
500060,BIRLACABLE  ,B ,Q,101.80,103.70,99.85,103.25,103.25,98.30,237,15401,1568901.00,
500067,BLUE STAR   ,A ,Q,809.00,809.00,793.50,796.00,799.80,801.85,530,3104,2492160.00,
500069,BNK CAPITAL ,X ,Q,88.50,88.50,88.50,88.50,88.50,86.00,4,565,50002.00,
500074,BPL LTD.    ,B ,Q,23.20,24.55,22.80,24.05,24.05,23.25,384,31419,746883.00,
500078,OAL         ,X ,Q,207.00,215.55,205.00,210.35,211.00,210.85,39,1608,334758.00,
500083,CENTURY EXT ,B ,Q,4.22,4.55,4.06,4.32,4.31,4.02,47,14883,64290.00,
500084,CESC LTD.   ,A ,Q,765.00,774.45,759.55,771.80,771.80,764.55,359,7953,6116269.00,
500085,CHAMBAL FERT,A ,Q,190.00,191.15,186.10,186.65,186.65,189.00,799,47274,8918701.00,
500086,EXIDE IND.  ,A ,Q,210.50,214.40,209.30,213.75,213.65,209.50,597,41833,8869808.00,
500087,CIPLA LTD.  ,A ,Q,555.00,566.20,551.00,560.10,560.80,553.70,1334,61114,34190732.00,
500092,CRISIL LTD  ,A ,Q,1503.95,1504.20,1478.00,1489.15,1484.00,1518.70,162,1295,1929438.00,
500093,CGPOWER     ,A ,Q,31.75,32.90,31.10,32.75,32.75,32.15,1173,611135,19748379.00,
500096,DABUR (I)   ,A ,Q,410.00,414.00,407.00,409.65,409.65,408.00,757,41969,17236110.00,
500097,DALMIASUG   ,B ,Q,111.35,113.45,111.35,112.60,113.00,112.50,165,9929,1118000.00,
500101,ARVIND Ltd  ,A ,Q,71.35,76.30,71.35,75.20,75.20,72.20,664,162799,12117482.00,
500102,BALARPUR IND,B ,Q,2.10,2.12,1.95,2.10,2.10,2.05,155,120114,242910.00,
500103,BHEL        ,A ,Q,68.40,70.10,67.70,69.70,70.00,68.20,2608,1827140,127116368.00,
500104,HIND.PETRO  ,A ,Q,305.05,310.25,301.90,308.55,308.55,305.75,2382,214845,65810153.00,
500106,IFCI LTD    ,A ,Q,9.16,9.22,8.85,9.18,9.18,8.97,507,438331,3977999.00,
500108,MAHA.TELE   ,B ,Q,9.50,9.72,8.91,9.21,9.21,9.50,967,438142,4087628.00,
500109,MRPL        ,A ,Q,60.00,60.30,58.50,60.15,60.15,59.60,348,78495,4678742.00,
500110,CHENNAI PET.,A ,Q,213.95,215.00,205.50,210.90,210.90,213.70,736,48625,10175874.00,
500111,REL.CAP.    ,A ,Q,90.20,95.65,87.95,93.90,93.90,91.20,27969,4636817,427414439.00,
500112,STATE BANK  ,A ,Q,344.00,348.20,342.85,347.35,347.35,343.40,6235,799537,276429985.00,
500113,STEEL AUTH. ,A ,Q,48.70,49.80,48.10,49.55,49.55,48.25,1641,1050184,51570325.00,
500114,TITAN       ,A ,Q,1275.00,1284.50,1267.50,1280.60,1277.05,1273.40,1731,67849,86861369.00,
500116,IDBI BANK L ,A ,Q,36.75,37.50,36.15,36.85,36.85,36.50,1029,620229,22816973.00,
500117,DCW LTD.    ,B ,Q,17.45,17.60,16.65,17.55,17.60,17.50,357,35720,613929.00,
500119,DHAMPUR SUGA,B ,Q,215.55,216.50,212.10,213.15,213.15,215.60,396,21176,4525061.00,
500120,DIAMINES&CHM,X ,Q,116.05,119.20,114.00,117.35,116.75,119.70,70,4378,509527.00,
500123,ELANTAS     ,B ,Q,2170.00,2184.00,2152.00,2164.90,2164.90,2180.00,28,254,550455.00,
500124,DR.REDDY'S  ,A ,Q,2644.60,2644.60,2596.65,2603.80,2608.50,2628.10,992,20532,53557776.00,
500125,E.I.D.PAR   ,A ,Q,175.25,178.00,175.05,176.90,177.40,174.75,161,4909,868182.00,
500126,PGHL        ,A ,Q,4000.00,4019.00,3975.00,3994.45,3993.10,3980.80,298,1428,5703182.00,
500128,ELEC.CASTING,B ,Q,17.65,17.95,17.60,17.75,17.60,17.95,62,12840,227900.00,
500132,EMPEE SUGARS,Z ,Q,1.03,1.06,1.00,1.06,1.06,1.03,4,1789,1869.00,
500133,ESAB INDIA  ,B ,Q,1133.00,1133.00,1090.00,1102.10,1090.05,1125.55,85,1012,1123915.00,
500135,ESSEL PROP  ,B ,Q,128.75,129.35,128.00,129.20,129.30,129.90,125,8206,1055277.00,XD
500136,ESTER INDUS.,B ,Q,34.70,35.40,33.80,35.00,35.00,35.00,64,6395,223623.00,
500141,FERRO ALLOYS,X ,Q,3.77,3.90,3.51,3.82,3.90,3.77,75,24845,93656.00,
500144,FINOL. CABLE,A ,Q,463.15,480.10,451.00,467.45,466.00,464.00,277,6284,2913759.00,
500147,CMI FPE     ,X ,Q,1106.05,1149.95,1106.05,1121.80,1119.00,1153.85,10,60,66846.00,
500148,UFLEX LTD   ,A ,Q,246.60,253.90,245.40,249.90,249.90,250.95,213,5201,1297502.00,
500150,FOSECO INDIA,B ,Q,1286.00,1324.00,1286.00,1290.00,1290.00,1292.00,17,62,80070.00,
500151,GOLDEN TOB  ,B ,Q,33.40,35.75,33.00,34.95,34.95,34.60,7,1000,33423.00,
500153,GANESH BENZO,X ,Q,41.40,42.50,40.60,41.00,41.25,41.90,199,121462,5044333.00,
500155,GARDEN SILK ,B ,Q,16.25,16.70,15.75,16.25,16.70,16.90,50,6768,108863.00,
500159,METROGLOBL  ,X ,Q,68.00,68.00,55.10,60.30,60.30,61.00,39,2166,133901.00,
500160,GTL LTD.    ,B ,Q,3.94,3.94,3.36,3.55,3.55,3.64,19,4689,16739.00,
500163,GODFREY PH  ,A ,Q,890.05,899.80,888.00,896.20,893.05,889.45,277,8089,7231154.00,
500164,GODREJ IND  ,A ,Q,479.45,485.40,477.00,483.45,482.00,481.15,321,5787,2794083.00,
500165,KANSAI NERO ,A ,Q,442.00,454.00,439.00,448.60,448.60,444.00,195,2536,1126797.00,
500166,GOODRICKE   ,X ,Q,193.50,193.50,186.15,190.20,190.20,188.05,90,10172,1931330.00,
500168,GOODYEAR (I),B ,Q,947.85,954.90,945.05,951.65,950.00,944.45,57,1304,1238415.00,
500170,GTN INDUS   ,B ,Q,8.90,8.90,8.12,8.41,8.41,8.81,11,22,193.00,
500171,GHCL LTD    ,A ,Q,243.80,246.20,241.25,245.20,243.50,243.20,143,4328,1054890.00,
500173,GUJ.FLOURO  ,A ,Q,1128.85,1128.85,1090.00,1098.15,1098.15,1118.15,421,3439,3798091.00,
500179,HCL INFOSYS ,B ,Q,14.15,14.60,13.80,14.40,14.35,14.30,149,34361,488103.00,
500180,HDFC BANK   ,A ,Q,2453.00,2459.60,2441.95,2449.35,2449.35,2442.60,2289,411575,1006258253.00,
500182,HEROMOTOCO  ,A ,Q,2764.70,2791.50,2748.10,2775.90,2780.00,2748.95,1335,20411,56615651.00,
500183,HIMACHAL FUT,A ,Q,21.15,21.20,20.85,21.00,21.15,21.10,515,210690,4415932.00,
500184,HSCL        ,A ,Q,113.90,114.70,111.60,114.30,114.30,113.90,764,82447,9357718.00,
500185,HIND.CONSTN.,A ,Q,12.56,12.99,12.56,12.73,12.73,12.76,463,72498,923508.00,
500186,HIND.OIL EXP,B ,Q,121.00,123.50,120.70,122.30,122.75,122.40,244,21137,2579041.00,
500187,HSIL        ,B ,Q,266.25,269.50,264.35,266.05,266.70,266.55,97,1576,420750.00,
500188,HINDUS.ZI   ,A ,Q,244.00,244.00,240.30,241.60,240.85,241.60,567,28060,6791245.00,
500189,HINDUJA VENT,B ,Q,376.35,380.80,370.00,375.05,375.00,375.55,37,596,223825.00,
500191,HMT LTD.    ,Z ,Q,17.80,17.80,17.00,17.40,17.40,17.80,16,4027,69697.00,
500192,PRAG BOSIMI ,XT,Q,2.92,3.00,2.86,3.00,3.00,3.01,9,9972,29084.00,
500193,HOTEL LEELA.,B ,Q,8.50,8.50,8.00,8.16,8.18,8.44,185,71851,586612.00,
500199,I.G.PETRO   ,B ,Q,288.70,288.70,273.10,275.60,276.00,288.70,131,2226,619367.00,
500201,IND.GLYCOLS ,B ,Q,250.10,251.40,246.40,250.25,250.25,251.10,252,8153,2029980.00,
500207,INDO RAMA   ,B ,Q,27.75,27.75,26.75,27.05,27.05,28.00,17,3185,86280.00,
500209,INFOSYS LTD ,A ,Q,754.00,758.90,751.20,754.85,754.85,753.60,6556,287202,216792368.00,
500210,INGERSOLL   ,B ,Q,620.00,630.00,620.00,625.70,629.95,620.65,51,3295,2050955.00,
500211,INSILCO LTD.,X ,Q,17.85,17.85,16.50,17.40,17.45,17.30,25,1966,34092.00,
500212,INTEG.FIN.SE,XT,Q,33.75,33.75,32.10,32.10,32.10,33.75,3,400,12841.00,
500213,INTER.TRAVEL,X ,Q,123.90,123.90,117.90,119.45,120.05,120.00,23,1108,132836.00,
500214,ION EXCHANGE,X ,Q,546.70,546.70,532.00,546.70,546.70,520.70,834,91210,49615235.00,
500215,AGRO TECH FO,B ,Q,533.55,538.35,530.60,536.40,534.00,530.40,10,45,24080.00,
500219,JAIN IRRIG  ,A ,Q,37.00,41.40,35.25,40.80,40.80,37.35,6392,2654944,102532307.00,
500220,JASCH INDUST,X ,Q,50.15,51.00,49.00,49.80,50.00,51.10,39,4519,226015.00,
500223,JCT LTD     ,X ,Q,1.38,1.39,1.32,1.35,1.35,1.34,42,78101,106693.00,
500227,JINDAL POLYF,B ,Q,232.20,239.90,231.35,235.75,238.20,231.90,38,1171,273762.00,
500228,JSWSL       ,A ,Q,268.00,274.05,265.25,273.30,273.30,267.00,1621,210550,56861693.00,
500231,UMANG DAIR  ,B ,Q,47.50,47.90,47.50,47.90,47.90,48.05,3,94,4473.00,
500233,KAJARIA CER.,A ,Q,620.15,624.00,615.00,619.45,616.20,620.10,240,9125,5645827.00,
500234,KAKATIYA CEM,B ,Q,192.00,195.00,190.00,190.75,190.75,192.25,141,6345,1215239.00,
500235,KALYANI STEL,B ,Q,220.90,223.00,220.00,221.60,223.00,220.60,114,3673,810154.00,
500238,WHIRLPOOL   ,A ,Q,1587.75,1587.80,1551.90,1570.55,1560.50,1572.35,248,1836,2876756.00,
500239,KG DENIM    ,X ,Q,41.20,42.95,41.20,42.20,41.75,42.25,8,376,15684.00,
500240,KINETIC ENG.,X ,Q,31.60,32.50,31.00,31.65,32.50,31.30,16,1314,42372.00,
500241,KIRL.BROS.  ,B ,Q,182.50,182.50,176.70,179.85,179.90,177.00,31,1154,206276.00,
500243,KIRL INDUS  ,B ,Q,804.00,815.00,804.00,805.50,805.00,812.15,17,47,38083.00,
500245,KIRL.FERROUS,B ,Q,82.50,83.35,80.00,81.40,81.40,82.25,546,40347,3281026.00,
500246,ENVAIN ELECT,X ,Q,35.90,36.00,35.90,36.00,36.00,35.90,2,567,20372.00,
500247,KOTAK MAH.BK,A ,Q,1505.05,1512.45,1493.60,1507.50,1505.60,1502.70,1204,32291,48597952.00,
500249,KSB         ,B ,Q,706.50,719.95,706.50,715.15,719.00,715.00,32,146,104302.00,
500250,L.G.BALKRISH,B ,Q,345.00,364.10,340.00,347.80,345.10,351.80,56,442,155134.00,
500251,TRENT LTD.  ,A ,Q,400.80,403.80,400.00,401.55,400.30,401.10,209,3493,1404541.00,
500252,LAXMIMACH   ,A ,Q,5359.25,5393.25,5338.00,5356.60,5347.00,5385.15,77,228,1221766.00,
500253,LIC HOUS.FIN,A ,Q,554.75,555.00,541.00,545.90,545.90,550.25,972,52773,28955504.00,
500254,UTTAMVALUE  ,B ,Q,0.19,0.19,0.19,0.19,0.19,0.19,14,46323,8801.00,
500257,LUPIN LTD.  ,A ,Q,727.55,732.65,722.35,728.60,728.60,726.40,1392,48875,35582447.00,
500259,LYKA LABS   ,T ,Q,24.40,25.05,24.20,25.05,25.05,23.90,8,458,11301.00,
500260,RAMCOCEM    ,A ,Q,797.05,801.15,792.00,797.50,797.00,802.15,188,3895,3106453.00,
500264,MAFATLAL IND,X ,Q,96.60,100.00,95.60,96.05,96.00,94.20,31,1985,193424.00,
500265,MAH.SEAMLESS,B ,Q,431.90,436.00,425.65,432.50,432.00,433.00,144,2497,1076120.00,
500266,MAH.SCOOTER ,B ,Q,4391.85,4580.00,4367.85,4571.15,4571.15,4349.25,804,6126,27558852.00,
500267,MAJESTIC AUT,X ,Q,180.00,180.00,170.00,170.45,170.05,175.55,78,3548,610718.00,
500268,MANALI PETRO,B ,Q,24.10,24.25,23.50,23.85,23.85,24.25,115,16083,383739.00,
500271,MFSL        ,A ,Q,434.75,441.80,432.00,440.60,440.10,437.95,213,6643,2908942.00,
500279,MIRC ELECT  ,B ,Q,18.30,18.75,16.65,18.25,18.20,18.85,81,11000,199751.00,
500280,CENTURY ENKA,B ,Q,222.35,223.25,222.00,222.20,222.00,223.80,40,765,170240.00,
500284,LORDS CHLORO,XT,Q,45.15,47.75,43.80,47.75,47.75,45.50,12,1348,63125.00,
500285,SPICEJET LTD,A ,Q,138.70,147.50,135.20,141.80,141.80,137.65,14608,2273331,322377281.00,
500288,MOREPEN LAB.,B ,Q,19.50,19.50,18.45,18.95,19.15,19.30,274,100082,1884456.00,
500290,MRF LTD.    ,A ,Q,55576.10,56360.50,55570.00,56250.25,56360.50,55535.55,180,303,16980851.00,
500292,HEIDEL CEM  ,A ,Q,214.00,214.00,206.00,207.60,207.60,208.85,265,9794,2046458.00,
500294,NCC         ,A ,Q,96.20,96.45,92.85,94.85,94.85,96.45,2468,777946,73599828.00,
500295,VEDL        ,A ,Q,166.40,169.85,165.65,169.25,169.25,165.45,2976,464625,78409018.00,
500296,NAHAR SPG.  ,B ,Q,76.65,77.00,75.25,75.65,76.00,77.00,35,3579,270794.00,
500298,NAT.PEROXIDE,B ,Q,2353.00,2374.00,2305.00,2316.90,2323.95,2342.45,741,3389,7890023.00,
500300,GRASIM IND. ,A ,Q,886.10,895.55,877.15,890.40,890.40,881.60,836,28854,25625696.00,
500302,PEL         ,A ,Q,2124.40,2188.50,2076.25,2167.65,2167.65,2126.40,2243,35015,75222794.00,
500304,NIIT LTD.   ,B ,Q,104.25,106.70,103.40,106.05,106.50,103.80,858,85271,8969404.00,
500306,JAYKAY      ,X ,Q,4.70,4.70,4.60,4.61,4.61,4.60,16,1426,6574.00,
500307,NIRLON      ,B ,Q,202.65,204.80,202.60,204.00,204.00,202.60,20,751,152191.00,
500312,ONGC CORPN  ,A ,Q,165.00,170.05,165.00,169.00,169.00,164.75,1752,241346,40689566.00,
500313,OIL COUNTRY ,B ,Q,11.01,11.36,10.36,10.61,10.50,11.20,99,8985,97329.00,
500314,ORIENT HOTEL,B ,Q,41.35,42.25,40.70,41.00,41.00,41.50,21,4262,174904.00,
500315,ORINTAL BANK,A ,Q,91.00,92.40,89.60,91.90,91.90,90.65,1042,269637,24569586.00,
500317,OSWAL AGRO. ,B ,Q,8.30,8.30,7.05,7.28,7.30,7.13,47,9901,72029.00,
500319,INDIAN SUCRO,XT,Q,19.15,19.15,19.15,19.15,19.15,18.40,1,10,191.00,
500325,RELIANCE    ,A ,Q,1321.15,1334.80,1317.20,1328.55,1328.55,1318.85,8142,297974,395706442.00,
500327,PILITA      ,B ,Q,9.15,9.74,8.75,9.05,9.05,9.16,143,202794,1864250.00,
500329,PENTAMED.G  ,XT,Q,0.30,0.32,0.30,0.32,0.32,0.31,23,41917,13004.00,
500330,RAYMOND     ,A ,Q,812.75,818.75,809.10,814.30,814.30,812.70,350,9679,7870176.00,
500331,PIDILITE    ,A ,Q,1291.75,1305.00,1282.95,1287.75,1287.05,1283.50,1279,61227,79496475.00,
500333,PIX TRANS   ,X ,Q,190.50,194.00,188.65,192.10,194.00,190.50,73,5146,986276.00,
500335,BIRLA CORPN.,A ,Q,649.85,649.85,629.70,638.30,633.05,640.75,227,2065,1316261.00,
500336,SURYA ROSHNI,B ,Q,250.45,255.00,248.30,249.80,249.80,250.15,183,12437,3119157.00,
500337,PRIME SECUR.,B ,Q,39.75,40.75,39.15,40.40,40.00,39.80,221,383690,15515748.00,
500338,PRSMJOHNSN  ,A ,Q,93.05,94.50,93.00,94.10,94.15,93.10,108,12052,1129743.00,
500339,RAIN        ,A ,Q,105.05,107.90,103.10,106.25,106.25,105.25,1208,100036,10617862.00,
500343,AMJLAND     ,B ,Q,18.75,18.75,18.55,18.70,18.70,18.80,8,301,5584.00,
500346,PUN.COMMUNI.,B ,Q,16.45,16.45,15.35,16.30,16.30,15.20,7,252,4116.00,
500350,RSWM  LTD   ,B ,Q,143.50,148.60,142.25,146.15,147.00,143.10,94,1932,279363.00,
500354,RAJSH.SUGAR ,B ,Q,23.50,24.70,23.00,24.15,24.50,23.70,13,2567,60680.00,
500355,RALLIS INDIA,A ,Q,150.30,151.10,148.70,149.50,149.10,151.05,156,4828,721853.00,
500356,RAMANEWS    ,B ,Q,20.00,20.50,20.00,20.30,20.30,20.10,4,300,6046.00,
500357,RAMA PAPER  ,X ,Q,16.50,17.20,16.00,16.20,16.00,17.75,48,8717,142527.00,
500360,RAPICUT CARB,X ,Q,45.00,45.75,43.00,43.05,43.05,45.85,22,1616,70564.00,
500365,RMGALLOY    ,X ,Q,12.60,13.85,11.80,13.05,13.30,12.95,255,163621,2019726.00,
500366,ROLTA (I)   ,T ,Q,5.95,5.95,5.58,5.66,5.65,5.80,106,45520,257251.00,
500367,RUBFILA INT.,X ,Q,40.55,42.00,40.55,40.80,40.80,41.35,56,10567,436605.00,
500368,RUCHI SOYA  ,T ,Q,6.64,6.64,6.25,6.47,6.50,6.54,260,163107,1041015.00,
500378,JINDAL SAW  ,A ,Q,84.75,85.70,84.30,85.20,85.20,85.10,195,22655,1925352.00,
500380,JK LAKSHMI  ,A ,Q,358.00,365.00,356.00,362.70,362.70,358.40,197,6985,2513231.00,
500387,SHREE CEMENT,A ,Q,20886.80,20886.80,20636.00,20806.00,20800.35,20860.30,88,164,3404496.00,
500390,REL INFRA   ,A ,Q,64.20,67.00,60.05,64.95,64.95,64.20,30278,6569213,417472555.00,
500394,SOLID CARBID,Z ,Q,0.19,0.19,0.19,0.19,0.19,0.20,1,2,0.00,
500399,STEELCO GUJ.,XT,Q,3.57,3.57,3.57,3.57,3.57,3.64,1,5,17.00,
500400,TATA POWER  ,A ,Q,66.40,67.20,66.00,66.30,66.30,66.35,1467,510430,33905476.00,
500402,SPMLINFRA   ,B ,Q,24.00,24.30,22.50,22.80,23.50,24.00,37,5085,119060.00,
500403,SUNDARAM FAS,A ,Q,526.55,544.50,526.55,541.10,544.50,529.75,299,12596,6809407.00,
500404,SUNFLAG IRON,B ,Q,40.00,40.25,39.00,39.95,40.25,38.90,112,8068,318768.00,
500405,SUPREME PET ,B ,Q,208.35,210.05,203.00,206.15,205.90,210.00,148,1974,405994.00,
500407,SWARAJ ENGIN,B ,Q,1380.10,1405.00,1378.05,1388.10,1388.00,1395.75,14,38,52597.00,
500408,TATA ELXSI  ,A ,Q,858.05,873.95,850.75,867.25,865.00,859.40,1079,26097,22567307.00,
500410,ACC LTD     ,A ,Q,1595.00,1600.75,1583.00,1590.75,1590.10,1589.40,1082,52700,83834002.00,
500411,THERMAX     ,A ,Q,1066.45,1138.90,1066.45,1132.55,1138.90,1066.40,2201,21658,24196384.00,
500412,THIRUMALAI  ,B ,Q,84.95,84.95,79.30,80.65,80.65,83.40,421,36131,2909976.00,
500413,THOMAS COOK ,A ,Q,233.00,233.05,229.00,232.20,231.45,230.10,231,5448,1262692.00,
500414,TIMEX GROUP ,X ,Q,45.90,45.90,44.00,44.65,44.65,44.90,37,1992,88784.00,
500418,TOKYO PLAST ,B ,Q,47.65,51.65,47.65,49.70,49.20,48.90,16,635,31539.00,
500420,TORRENT PHAR,A ,Q,1513.65,1538.95,1513.00,1535.50,1535.00,1514.30,187,2613,3998923.00,
500425,AMBUJA CEME ,A ,Q,223.05,224.70,221.75,223.10,222.55,222.90,585,98431,22018659.00,
500426,UTLINDS     ,X ,Q,15.90,15.90,13.50,14.90,14.50,14.95,17,1309,19179.00,
500429,UNIPHOS ENT.,B ,Q,102.75,102.75,99.00,101.45,101.45,99.65,12,1826,181114.00,
500440,HINDALCO    ,A ,Q,200.00,200.80,195.70,199.50,199.50,198.30,4413,492137,98207608.00,
500444,WEST COAS PA,B ,Q,256.70,258.00,253.00,255.45,255.45,259.00,105,1724,441531.00,
500449,HIND.ORG.CHM,B ,Q,24.00,24.35,23.15,23.45,23.45,23.50,313,58216,1378226.00,
500456,PAS.ACRYLON ,X ,Q,18.35,18.35,17.50,17.80,17.70,17.90,48,10577,187469.00,
500459,PROCTER &GAM,A ,Q,10782.25,11000.00,10782.25,10955.85,10945.00,10941.30,69,123,1346622.00,
500460,MUKAND LTD. ,B ,Q,52.05,53.50,51.75,52.80,53.50,52.25,61,5070,265759.00,
500463,AGCNET      ,B ,Q,108.25,108.25,107.05,107.90,107.05,107.20,8,275,29707.00,
500464,UCAL FUEL   ,B ,Q,158.50,159.20,156.60,157.30,156.60,158.60,38,1220,192466.00,
500467,HARR.MALAYAL,B ,Q,65.50,71.95,64.80,70.50,71.40,63.75,192,9489,641107.00,
500469,FEDERAL BANK,A ,Q,106.50,108.00,104.35,107.45,107.45,105.20,1274,431249,45913186.00,
500470,TATA STEEL  ,A ,Q,489.85,493.85,487.30,492.80,492.80,486.70,3844,270881,132916801.00,
500472,SKF INDIA   ,A ,Q,1905.90,1946.90,1905.90,1934.00,1934.85,1900.80,105,373,721495.00,
500477,ASHOK LEYL. ,A ,Q,91.15,91.65,89.85,91.20,91.20,90.55,2788,848282,77092355.00,
500480,CUMMINS (I) ,A ,Q,771.05,773.55,760.30,763.75,761.35,774.10,325,6885,5276536.00,
500483,TATA COMM   ,A ,Q,503.00,509.75,499.45,506.75,501.60,506.35,335,9048,4558598.00,
500488,ABBOTT (I)  ,A ,Q,8290.00,8649.00,8290.00,8587.70,8649.00,8278.65,634,1522,13008399.00,
500490,BAJ HOLD INV,A ,Q,3654.25,3799.00,3641.10,3780.15,3780.15,3654.00,530,2391,8957364.00,
500493,BHARAT FORGE,A ,Q,463.90,476.70,459.75,474.85,474.25,461.00,1283,87977,41469873.00,
500495,ESCORTS LTD.,A ,Q,583.15,594.45,580.50,589.70,588.30,580.75,1301,72275,42565634.00,
500500,HIND.MOTORS ,T ,Q,6.85,7.11,6.58,6.82,7.03,6.85,46,10524,72611.00,
500510,LARSEN & TOU,A ,Q,1535.25,1539.90,1522.55,1524.70,1524.70,1532.20,2582,78847,120429284.00,
500520,MAH & MAH   ,A ,Q,647.20,647.20,636.50,638.20,638.20,647.15,2275,69444,44402753.00,
500530,BOSCH LTD   ,A ,Q,17120.00,17236.65,17095.40,17155.10,17132.00,16970.05,174,431,7390796.00,
500540,PREMIER LTD ,T ,Q,4.69,4.69,4.31,4.31,4.31,4.47,2,1000,4500.00,
500547,BHARAT PET. ,A ,Q,389.50,393.50,379.80,387.05,387.05,389.75,2009,194427,75097672.00,
500550,SIEMENS LTD.,A ,Q,1277.00,1277.00,1263.00,1269.65,1271.80,1270.20,469,16117,20452958.00,
500570,TATA MOTORS ,A ,Q,167.90,171.85,165.80,170.65,170.65,166.15,7326,1180007,199893936.00,
500575,VOLTAS LTD  ,A ,Q,625.00,625.00,613.15,615.55,615.55,620.60,942,51920,32047908.00,
500620,GREAT EASTE ,A ,Q,273.45,274.05,267.60,270.10,267.60,270.55,189,2474,673830.00,
500645,DEEPAK FERT.,A ,Q,136.55,138.10,134.50,135.20,135.20,135.50,383,22430,3047197.00,
500650,EXCEL INDUST,B ,Q,991.25,993.00,980.10,984.65,984.65,996.05,77,884,872778.00,
500655,GARWARE POLY,X ,Q,251.00,256.00,248.00,255.30,255.30,249.45,378,21468,5419380.00,
500660,GLAXOSMITH  ,A ,Q,1274.95,1274.95,1262.05,1265.90,1269.00,1269.65,136,1436,1819932.00,
500670,GUJ.NARMADA ,A ,Q,268.50,268.50,261.35,266.20,265.15,268.35,1005,38740,10247793.00,
500672,NOVARTIS    ,B ,Q,673.10,681.95,671.65,674.65,674.65,671.60,239,6776,4584519.00,
500674,SANOFI      ,A ,Q,5455.00,5615.50,5455.00,5588.85,5600.00,5424.60,170,461,2568680.00,
500676,GLAXOSMITHKL,A ,Q,7759.20,7759.20,7675.00,7746.80,7746.80,7747.50,174,310,2395145.00,
500680,PFIZER LTD. ,A ,Q,3149.25,3217.25,3119.85,3209.05,3216.00,3138.35,264,977,3105128.00,
